trade_id,entry_price,exit_price,size,direction,fees_total,pnl_abs,pnl_r,raw_pnl,pnl_match,type
trd-c60be3b03a9e45f99ce3a5ada6e12c5e,77792.45,77447.3495888,0.281546109915599,LONG,0.0,-97.1616783036319,-1.0,-97.1616783036319,EXACT,PAPER
trd-90cd5b2104674d50ac26030f9924a1f3,77546.05,77918.5805714286,0.282592850312483,LONG,0.0,105.274476008536,0.96618164794572,105.274476008536,EXACT,PAPER
trd-31649d37014a46a6890bd2ad32a0905e,78406.35,78417.7715714286,0.280680144896987,LONG,0.0,3.2058083235175,0.0158620398093941,3.2058083235175,EXACT,PAPER
trd-b0f668855f0345ae8cca6e2909573a4b,78809.95,76076.1635,0.289309953571084,LONG,0.0,-790.911645388256,-0.794484461525205,-790.911645388256,EXACT,PAPER
trd-0e1f4fcfd50a44ef89a58de25b0cd73e,76372.85,74737.4548571429,0.29431747258188,LONG,0.0,-481.325365118397,-0.715338065575227,-481.325365118397,EXACT,PAPER
trd-77cd9e0bdc614ae89a34710aa9f707f5,75457.6765,75216.2119352,0.289897609025901,LONG,0.0,-70.0,-1.0,-70.0,EXACT,PAPER
trd-4afd6ad2d38944f6ba57b0ed2999fc4d,75563.5767857143,75321.77334,0.289491325457429,LONG,0.0,-70.0,-1.0,-70.0,EXACT,PAPER
trd-69bd506725974a2397a4cb0374c64cb1,75809.8436428571,76344.4357857143,0.288550918308899,LONG,0.0,154.257053742152,2.20367219631645,154.257053742152,EXACT,PAPER
trd-20ac37b7e9974256ab738a6d31bae390,74326.9735714286,74939.4521428571,0.294307691392521,LONG,0.0,180.257154384531,2.5751022054933,180.257154384531,EXACT,PAPER
trd-3554b7306eb248339554d84b2be7e86d,74938.8253571429,75673.2432142857,0.291904762261056,LONG,0.0,214.380069989562,3.06257242842232,214.380069989562,EXACT,PAPER
trd-bcffd02e8cec4b5288e21180ea3635cb,75031.2591428571,75492.7962857143,0.291545153978436,LONG,0.0,134.558917381052,1.92227024830074,134.558917381052,EXACT,PAPER
trd-0f208561018949de8764d11a204f17d0,75455.8682857143,75214.4095072,0.289904556093248,LONG,0.0,-70.0,-1.0,-70.0,EXACT,PAPER
trd-aa8a8a43239440e8bc74866ba71b797d,80000.0,80500.0,0.2,LONG,0.0,100.0,2.0,100.0,EXACT,PAPER
bt-trd-00000294,87657.5380916071,87581.91754,0.744360182495232,LONG,52.1765092697233,-108.465436864411,-1.03906427121019,-56.2889275946879,MATCH_WITH_FEES,BACKTEST
bt-trd-00000293,87472.4006511429,87282.9929585714,0.757159670134971,LONG,52.9270944719353,-196.338960500336,-1.5887629833921,-143.411866028401,MATCH_WITH_FEES,BACKTEST
bt-trd-00000292,87774.5487200714,87515.9551917857,0.601305642515945,LONG,42.1612676326652,-197.655015308978,-1.41483454116684,-155.493747676313,MATCH_WITH_FEES,BACKTEST
bt-trd-00000291,87768.6520590357,88179.3173734107,0.751299407311034,LONG,52.8758420608708,255.656765232278,2.24000470243782,308.53260729316,MATCH_WITH_FEES,BACKTEST
bt-trd-00000290,87215.3860236786,87843.7520018036,0.62749667838625,LONG,43.9396110528601,350.357953031511,2.617805791277,394.297564084375,MATCH_WITH_FEES,BACKTEST
bt-trd-00000289,89481.6722725,89297.8476065,0.727721462311833,LONG,52.0406774551013,-185.813832205595,-1.62606450386886,-133.773154750494,MATCH_WITH_FEES,BACKTEST
bt-trd-00000288,87309.3882801071,87705.4327957322,0.732155617897005,LONG,51.2552337863659,238.71098326578,2.33416472641595,289.966217052157,MATCH_WITH_FEES,BACKTEST
